GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GroceryStoreApplication,com.example.gsa.service,UserService,3,38,3,7,1,4,3,4,0,2
GroceryStoreApplication,com.example.gsa.service.impl,DiscountService,0,78,1,7,0,18,1,9,0,6
GroceryStoreApplication,com.example.gsa.service.impl,UserServiceImpl,5,8,0,0,1,2,1,2,1,2
GroceryStoreApplication,com.example.gsa.service.impl,BillingService,0,15,0,0,0,4,0,2,0,2
GroceryStoreApplication,com.example.gsa.respositories,UserRepository,0,22,0,0,0,4,0,3,0,3
GroceryStoreApplication,com.example.gsa.enums,UserTypeEnum,0,29,0,0,0,2,0,2,0,2
GroceryStoreApplication,com.example.gsa.enums,ItemTypeEnum,0,29,0,0,0,2,0,2,0,2
GroceryStoreApplication,com.example.gsa,GroceryStoreApplication,5,3,0,0,2,1,1,1,1,1
GroceryStoreApplication,com.example.gsa.models,User,0,56,0,0,0,8,0,12,0,12
GroceryStoreApplication,com.example.gsa.models,Bill,0,46,0,0,0,7,0,10,0,10
GroceryStoreApplication,com.example.gsa.models,Item,0,66,0,0,0,9,0,14,0,14
